year,CI_low,CI_high,LPI_final,type
1985,0.929523483595311,1.05663059236011,0.990124656244721,na_na_onepercent
1986,0.927439722371194,1.05777255144746,0.989799422648255,na_na_onepercent
1987,0.922821986575169,1.05552866739242,0.986337099279646,na_na_onepercent
1988,0.920078914902503,1.05529294198136,0.984345876027322,na_na_onepercent
1989,0.91515437259553,1.05337145822562,0.980993921112744,na_na_onepercent
1990,0.910973381044158,1.05183981520457,0.97816356064133,na_na_onepercent
1991,0.903236179546933,1.04750163431394,0.972278894316025,na_na_onepercent
1992,0.896752740721993,1.04372741312921,0.966716364654235,na_na_onepercent
1993,0.89769394731751,1.04903229239905,0.96920044952445,na_na_onepercent
1994,0.900418254809719,1.05580613428044,0.974035310525133,na_na_onepercent
1995,0.898046970311272,1.05555844296098,0.973408540115255,na_na_onepercent
1996,0.899188981920219,1.05996545334094,0.97651113754933,na_na_onepercent
1997,0.89604503997305,1.0580879300635,0.974192541815106,na_na_onepercent
1998,0.883582188207213,1.04924963324147,0.963235571390133,na_na_onepercent
1999,0.869907995153513,1.03806496431542,0.950453536875683,na_na_onepercent
2000,0.858573835495512,1.02797684685939,0.939583635140804,na_na_onepercent
2001,0.848679117578523,1.02163823167982,0.931098653914349,na_na_onepercent
2002,0.839886536749535,1.01555888787539,0.923143184849024,na_na_onepercent
2003,0.83030206860158,1.00854672073222,0.914809235322106,na_na_onepercent
2004,0.827093089610387,1.00695381485602,0.912656004028036,na_na_onepercent
2005,0.829445250898603,1.01031787504185,0.916215681528741,na_na_onepercent
2006,0.829059262738396,1.01242945558842,0.916828178807264,na_na_onepercent
2007,0.827876374438343,1.01471404739647,0.916765317332517,na_na_onepercent
2008,0.823660544002163,1.01187558274048,0.913174522928991,na_na_onepercent
2009,0.818185654119284,1.00891338454253,0.908329222700473,na_na_onepercent
2010,0.813736988364742,1.00637247642943,0.90479976072022,na_na_onepercent
2011,0.809192515017733,1.00384924262634,0.90161352752036,na_na_onepercent
2012,0.804406150711817,1.00121736341583,0.89787134741933206,na_na_onepercent
2013,0.801469717956483,1.00057813858233,0.895866066245576,na_na_onepercent
2014,0.800294764797816,1.00221555132027,0.895819743074916,na_na_onepercent
2015,0.798872796124268,1.00428832254215,0.896477181017976,na_na_onepercent
2016,0.794595336682023,1.00380353443101,0.894018598567582,na_na_onepercent
2017,0.785805274615298,0.996407722767256,0.885932827340506,na_na_onepercent
2018,0.776905862057667,0.987351263291014,0.876735323414907,na_na_onepercent
2019,0.774992406859647,0.986711238658783,0.875509013398954,na_na_onepercent
2020,0.773637396609559,0.987328544221104,0.874736841442149,na_na_onepercent
2021,0.766969240510226,0.982877545611481,0.868998012616342,na_na_onepercent
2022,0.751494204587262,0.971377966376642,0.854155421087472,na_na_onepercent
1970,1,1,1,onepercent_na_onepercent
1971,1.00084099729703,1.02306737547653,1.01209989724176,onepercent_na_onepercent
1972,0.995825289862142,1.03758021700864,1.01670929269469,onepercent_na_onepercent
1973,0.986914375308618,1.04665446996696,1.01643605644225,onepercent_na_onepercent
1974,0.976618510750681,1.05273377349004,1.01377097350125,onepercent_na_onepercent
1975,0.963730030775034,1.05492115427369,1.00784025298033,onepercent_na_onepercent
1976,0.959138087460688,1.05710153044352,1.00648105480022,onepercent_na_onepercent
1977,0.952959044374759,1.0586564176279,1.00394193136608,onepercent_na_onepercent
1978,0.952244476952084,1.06288311923978,1.00573393410372,onepercent_na_onepercent
1979,0.956005245279045,1.07008415090589,1.01123856065734,onepercent_na_onepercent
1980,0.962105902033648,1.08028652165668,1.01967525636792,onepercent_na_onepercent
1981,0.966065985440119,1.08865794465766,1.02597415217345,onepercent_na_onepercent
1982,0.964007806284858,1.09251813700627,1.02614738661014,onepercent_na_onepercent
1983,0.961997676673228,1.0951335649069,1.02612160243196,onepercent_na_onepercent
1984,0.9609553836507,1.09858349776064,1.02739870060422,onepercent_na_onepercent
1985,0.964084255540841,1.10610165893667,1.03245406669712,onepercent_na_onepercent
1986,0.964960443007912,1.10974632056027,1.03477956183269,onepercent_na_onepercent
